"KIC","KOI","KepName","Period","T0","T14","ld1","ld2","R_star","rad_up","rad_down","mass","mass_up","mass_down"
8197343,1746.01,"Kepler-946 b",11.79161234,134.54064,0.1265,0.2291,0.4603,1.199,0.188,-0.207,0.962,0.068,-0.054
6786348,1749.01,"Kepler-947 b",26.964501,145.34426,0.158,0.2602,0.4096,0.905,0.214,-0.092,1.021,0.091,-0.136
6209677,1750.01,"Kepler-948 b",7.76845639,138.06602,0.153708333333333,0.224,0.4695,0.917,0.102,-0.063,0.928,0.048,-0.053
9729691,1751.01,"Kepler-949 b",8.689301216,133.661284,0.106791666666667,0.1914,0.5167,0.895,0.186,-0.129,0.817,0.104,-0.064
8349582,122.01,"Kepler-95 b",11.523067458,131.969055,0.1614875,0.257,0.4213,1.411,0.091,-0.073,1.053,0.115,-0.057
5864975,1787.01,"Kepler-950 b",98.7179332,131.58694,0.274708333333333,0.2865,0.3556,0.786,0.166,-0.059,0.871,0.085,-0.095
2975770,1788.01,"Kepler-951 b",71.52543938,191.69147,0.246620833333333,0.1054,0.6323,0.778,0.029,-0.047,0.769,0.048,-0.028
6504954,1790.01,"Kepler-952 b",130.3543929,144.06022,0.26975,0.2844,0.3661,1.015,0.334,-0.111,1.089,0.138,-0.138
8552719,1792.01,"Kepler-953 b",88.40678718,176.274619,0.512829166666667,0.2193,0.4785,1.073,0.173,-0.106,1.026,0.057,-0.057
8552719,1792.03,"Kepler-953 c",9.10969334,133.06566,0.2215875,0.2193,0.4785,1.073,0.173,-0.106,1.026,0.057,-0.057
10676014,1797.01,"Kepler-954 b",16.78175788,139.79356,0.155775,0.153,0.5684,0.742,0.045,-0.033,0.778,0.042,-0.042
5088591,1801.01,"Kepler-955 b",14.5324483,140.72407,0.130416666666667,0.2043,0.4966,0.86,0.138,-0.101,0.802,0.113,-0.061
11298298,1802.01,"Kepler-956 b",5.248667607,135.516708,0.079875,0.2602,0.4096,1.012,0.154,-0.071,1.021,0.063,-0.063
11187436,1804.01,"Kepler-957 b",5.90741476,133.93511,0.042333333333333,0.1908,0.5172,0.69,0.062,-0.068,0.667,0.089,-0.045
9455325,1813.01,"Kepler-958 b",9.76785911,139.43968,0.090204166666667,0.1959,0.5086,0.852,0.077,-0.052,0.864,0.049,-0.049
5621125,1814.01,"Kepler-959 b",14.80075082,132.82179,0.240083333333333,0.3215,0.3232,7.663,1.482,-2.752,2.646,0.247,-0.534
5383248,261.01,"Kepler-96 b",16.23847733,171.019564,0.1654125,0.2622,0.4035,0.993,0.15,-0.087,0.951,0.067,-0.061
9872283,1815.01,"Kepler-960 b",3.126861192,133.724959,0.049691666666667,0.098,0.6538,1.749,1.119,-0.087,0.97,0.209,-0.152
